widget_type	stateless	stateful	source	zero_size	minimal	clipped	resize	state_transition	snapshot	toolkit	semantics	keyboard	pointer
Wicked.ProgressGroup	true	true	src/StreamingWidgets.jl	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	n/a:no pointer handler
Wicked.PropertyList	true	true	src/DataWidgets.jl	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics
Wicked.ReplView	true	true	src/StreamingWidgets.jl	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	n/a:no pointer handler
Wicked.ResizablePane	false	true	src/AcceptanceWidgets.jl	test/new_widget_families.jl:resizable pane toolkit semantics	test/new_widget_families.jl:resizable pane toolkit semantics	test/new_widget_families.jl:resizable pane toolkit semantics	test/new_widget_families.jl:resizable pane toolkit semantics	test/new_widget_families.jl:resizable pane toolkit semantics	test/new_widget_families.jl:resizable pane toolkit semantics	test/new_widget_families.jl:resizable pane toolkit semantics	test/new_widget_families.jl:resizable pane toolkit semantics	n/a:no keyboard handler	test/new_widget_families.jl:resizable pane toolkit semantics
Wicked.RichWidgets.MarkdownView	true	true	src/AcceptanceWidgets.jl	test/widget_interactions_extended.jl:Markdown view complete contract	test/widget_interactions_extended.jl:Markdown view complete contract	test/widget_interactions_extended.jl:Markdown view complete contract	test/widget_interactions_extended.jl:Markdown view complete contract	test/widget_interactions_extended.jl:Markdown view complete contract	test/widget_interactions_extended.jl:Markdown view complete contract	test/widget_interactions_extended.jl:Markdown view complete contract	test/widget_interactions_extended.jl:Markdown view complete contract	test/widget_interactions_extended.jl:Markdown view complete contract	test/widget_interactions_extended.jl:Markdown view complete contract
Wicked.ShortcutBar	true	false	src/AcceptanceWidgets.jl	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	n/a:stateless render contract	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Sidebar	true	false	src/AcceptanceWidgets.jl	test/new_widget_families.jl:static layout toolkit semantics	test/new_widget_families.jl:static layout toolkit semantics	test/new_widget_families.jl:static layout toolkit semantics	test/new_widget_families.jl:static layout toolkit semantics	n/a:stateless render contract	test/new_widget_families.jl:static layout toolkit semantics	test/new_widget_families.jl:static layout toolkit semantics	test/new_widget_families.jl:static layout toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.SplitButton	false	true	src/AcceptanceWidgets.jl	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics
Wicked.SplitPane	true	false	src/AcceptanceWidgets.jl	test/new_widget_families.jl:static layout toolkit semantics	test/new_widget_families.jl:static layout toolkit semantics	test/new_widget_families.jl:static layout toolkit semantics	test/new_widget_families.jl:static layout toolkit semantics	n/a:stateless render contract	test/new_widget_families.jl:static layout toolkit semantics	test/new_widget_families.jl:static layout toolkit semantics	test/new_widget_families.jl:static layout toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Status	true	false	src/AcceptanceWidgets.jl	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	n/a:stateless render contract	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
